name,surname,gender,age,subject,email_id,phone_number

pooja,verma,female,21,maths,pooja@gmail.com,85798228

aanand,gupta,male,35,biology,aanand@gmail.com,628268865

dipika,maurya,female,25,Dfarma,dipika@gmail.com,6548652356

nikita,waghmare,female,32,nursing,nikita@gmail.com,978686183

anshu,shah,male,26,chemistry,anshu@gmail.com,78954685687

monika,gaikwad,female,21,maths,monika@gmail.com,9877857464

kajal,Singh,female,33,IT,kajal@gmail.com,66869746696

aaryan,verma,male,36,hindi,aaryan@gmail.com,6586865686

sanskar,modi,male,22,evs,sanskar@gmail.com,64585268365



